id,qPA,pulso,fResp,grav,label,pSist,pDiast
0,8.652291,122.324349,5.623564,25.868691,2,14.968414,14.869604
1,8.733333,135.824333,12.787053,35.650207,2,16.397160,12.220855
2,8.733333,97.100546,1.553286,37.109058,2,21.624540,13.586879
3,-4.333333,6.943670,8.233419,27.122605,2,16.458690,1.904802
4,8.733333,22.887924,0.738972,13.222719,1,18.521669,13.700638
5,4.698367,15.325022,8.935148,24.972772,1,16.246506,9.485389
6,-4.333516,121.564936,14.475078,73.008176,3,15.950677,1.463106
7,-5.724860,46.693170,12.655292,47.832449,2,5.000000,4.177473
8,4.666667,28.402289,21.471037,25.170490,2,18.999419,8.203223
9,8.733333,106.034640,9.716065,33.442757,2,21.441397,14.362603
10,8.589976,186.060268,17.112413,36.248507,2,14.535767,14.473328
11,-4.337934,123.380554,12.528085,54.015739,3,18.556437,2.364196
12,8.733333,137.978384,0.464195,13.222719,1,20.268721,14.558892
13,8.733333,46.885173,11.270018,39.827247,2,21.978119,14.357504
14,-0.000000,41.368772,8.966147,47.659410,2,10.631543,7.280635
15,8.733333,7.473253,4.836416,13.222719,1,21.195761,12.004207
16,-4.353955,132.672993,5.070135,30.628956,2,14.885916,2.128295
17,-0.000000,101.450914,9.648095,59.453006,3,7.977164,6.326419
18,8.731887,97.160090,20.237664,36.883039,2,15.952106,13.736033
19,8.710609,172.339002,7.018826,13.229993,1,19.610833,11.883110
20,8.733333,193.102981,6.255360,13.222719,1,20.520396,14.392386
21,-0.000000,151.937587,8.003138,40.000000,2,11.104232,9.836110
22,-4.621140,49.335890,10.984986,42.456975,2,10.618730,0.535675
23,8.624766,135.253492,17.897534,33.852786,2,14.766123,12.736940
24,8.733333,151.861089,5.166001,13.222719,1,21.382428,14.009899
25,3.690253,117.237963,0.489807,43.219847,2,13.966912,10.181027
26,8.589949,164.487853,6.624671,13.268777,1,20.485135,11.366102
27,6.221129,185.367029,6.557369,14.446909,1,13.967106,11.146987
28,4.800176,127.513376,18.170415,43.208600,2,20.034790,5.883405
29,0.367775,3.787573,3.000700,39.249572,2,12.122977,9.832168
30,-4.343477,36.868126,17.920769,43.169230,2,17.320607,2.567800
31,3.704673,5.348142,18.943944,43.141965,2,10.952244,10.590691
32,-4.375746,186.999734,12.164720,46.479196,2,14.302242,0.477493
33,-0.726689,96.893472,0.407657,60.178249,3,14.270311,4.153845
34,-5.326756,158.957112,11.172073,38.382403,2,8.712891,0.692571
35,-8.709277,91.367068,15.700193,68.307853,3,5.823363,1.456977
36,8.733333,98.841852,15.350455,61.333680,3,19.994702,12.351867
37,3.212365,85.142790,19.656023,63.032853,3,12.106312,10.422429
38,1.810884,178.354431,15.426069,60.675346,3,13.191024,4.756492
39,8.560011,174.857024,20.620388,13.623239,1,14.352842,14.253331
40,-8.733333,126.630074,0.239641,22.586355,1,5.000000,0.516691
41,3.724791,58.455863,18.034289,52.718477,3,14.062854,6.581165
42,4.833042,58.335668,0.753888,40.097022,2,19.366867,5.723377
43,5.444859,49.100009,11.355527,42.175255,2,12.966283,11.482752
44,8.722314,140.869584,14.373267,40.000000,2,19.302889,11.927999
45,-4.352375,154.922375,16.590800,57.564268,3,16.069439,2.803089
46,-0.000000,164.530712,6.159933,40.000000,2,7.851905,7.346466
47,3.839736,161.237929,13.267123,49.099019,2,14.171232,6.683793
48,4.726229,50.754191,19.553176,41.374417,2,21.647950,9.694695
49,3.818121,160.099972,14.151150,52.638899,3,11.917867,10.640472
