ID,Coordenadas,Features,Cluster
263,"[16, 0]","[263.0, 10.221673, 8.180258, -0.0, 79.624668, 17.156922]",3
203,"[0, -4]","[203.0, 15.142603, 8.682964, 4.692125, 58.720232, 14.711614]",3
202,"[0, -7]","[202.0, 15.647617, 10.394198, 5.615725, 183.774119, 22.0]",3
201,"[0, -11]","[201.0, 15.628419, 11.222094, 8.669723, 149.670865, 21.485162]",3
296,"[24, -21]","[296.0, 2.917493, 3.301819, 0.0, 51.113352, 8.200271]",3
297,"[24, -11]","[297.0, 12.4285, 12.161364, 8.507703, 195.266778, 22.0]",3
288,"[22, 2]","[288.0, 18.700333, 12.277799, 8.733333, 166.477552, 19.70798]",3
287,"[22, -15]","[287.0, 9.63157, 4.5763, -1.489528, 60.162669, 9.888004]",3
283,"[21, 13]","[283.0, 11.286912, 1.943027, -4.466705, 49.013363, 10.117655]",3
284,"[21, 15]","[284.0, 7.139369, 3.336213, -7.754319, 50.712476, 8.466163]",3
281,"[20, 9]","[281.0, 7.077159, 3.411491, -8.044661, 30.16879, 8.55111]",3
276,"[19, 7]","[276.0, 18.41511, 10.533053, 6.176724, 162.26819, 17.787455]",3
277,"[19, 10]","[277.0, 16.496351, 11.410411, 8.560933, 155.991029, 16.515535]",3
269,"[18, 14]","[269.0, 17.489833, 13.944398, 8.733333, 154.063582, 20.904236]",3
264,"[16, 5]","[264.0, 8.788292, 3.940704, -5.394397, 48.276782, 9.559187]",3
262,"[16, -12]","[262.0, 3.792039, 2.617415, 0.0, 39.592136, 10.253687]",3
259,"[14, 13]","[259.0, 9.311841, 3.959401, -5.388882, 41.924965, 6.268743]",3
252,"[13, 12]","[252.0, 6.337794, 2.070038, -8.681331, 63.140155, 14.681504]",3
250,"[12, 11]","[250.0, 11.786338, 9.034122, -0.0, 65.173239, 16.07802]",3
248,"[11, 12]","[248.0, 22.0, 11.802657, 8.681083, 155.765712, 22.0]",3
247,"[11, -4]","[247.0, 16.590689, 12.383024, 8.733333, 155.38117, 22.0]",3
241,"[9, -2]","[241.0, 15.8778, 12.030299, 8.729637, 149.631566, 19.583654]",3
235,"[8, 8]","[235.0, 4.48171, 0.503113, 0.0, 59.702013, 6.74329]",3
236,"[8, 12]","[236.0, 7.380193, 3.100633, -7.003344, 42.10037, 16.362006]",3
225,"[6, 11]","[225.0, 6.535499, 1.79615, -8.667973, 42.397491, 8.210136]",3
226,"[6, 13]","[226.0, 12.033174, 3.350063, -4.379492, 52.595683, 6.999779]",3
169,"[-14, 10]","[169.0, 17.312289, 12.809972, 8.733333, 145.196948, 15.085445]",3
193,"[-3, 15]","[193.0, 6.037013, 1.530605, -8.699018, 41.269293, 11.086559]",3
194,"[-3, 16]","[194.0, 12.008128, 12.639517, 8.566751, 156.823718, 16.494481]",3
159,"[-18, -9]","[159.0, 8.812022, 8.582423, -0.0, 87.770035, 14.467307]",3
178,"[-10, -10]","[178.0, 20.322844, 12.497981, 8.733333, 168.540428, 13.772952]",3
167,"[-14, -10]","[167.0, 12.746751, 4.145362, -0.855434, 37.768785, 8.707429]",3
168,"[-14, -9]","[168.0, 19.194121, 6.9935, 4.666753, 86.223939, 14.902132]",3
181,"[-8, -13]","[181.0, 6.837492, 3.880953, -8.396749, 44.372088, 6.685576]",3
260,"[15, -18]","[260.0, 11.753847, 12.448921, 8.479086, 155.996773, 16.936513]",3
268,"[18, -17]","[268.0, 10.167555, 12.853087, 6.590988, 151.428968, 19.839355]",3
257,"[14, -17]","[257.0, 16.830014, 10.57553, 6.354585, 157.494472, 14.09066]",3
207,"[1, -17]","[207.0, 12.660097, 13.199028, 8.472815, 163.082994, 14.989443]",3
197,"[-1, -17]","[197.0, 12.73449, 9.170609, 1.804867, 68.230767, 15.628779]",3
183,"[-7, -13]","[183.0, 17.344381, 12.059072, 8.733333, 149.153015, 16.285497]",3
186,"[-6, -11]","[186.0, 11.872968, 11.010098, 4.737627, 157.954299, 18.471257]",3
184,"[-7, -11]","[184.0, 13.64898, 12.661536, 8.428675, 175.26078, 21.744555]",3
191,"[-3, -16]","[191.0, 6.992401, 3.113597, -8.586707, 35.06981, 8.529733]",3
240,"[9, -15]","[240.0, 17.285118, 8.425485, 4.666667, 66.783744, 15.77308]",3
190,"[-4, -10]","[190.0, 11.317295, 13.037816, 7.658427, 140.080028, 16.852458]",3
192,"[-3, -8]","[192.0, 7.662933, 1.571353, -6.366315, 50.939308, 4.33222]",3
165,"[-15, -3]","[165.0, 14.942876, 12.270378, 8.648931, 171.86659, 17.722396]",3
258,"[14, -13]","[258.0, 13.567938, 11.636219, 5.658191, 168.967474, 17.241622]",3
213,"[3, -13]","[213.0, 19.191353, 8.244475, 4.666667, 63.726773, 14.614737]",3
198,"[-1, -13]","[198.0, 5.747034, 2.905759, -8.628533, 46.202053, 13.23877]",3
199,"[-1, -10]","[199.0, 10.664471, 2.715859, -4.629694, 54.421333, 12.247547]",3
174,"[-12, -3]","[174.0, 19.433498, 11.937273, 8.724409, 153.30887, 18.679985]",3
188,"[-5, -3]","[188.0, 17.407897, 12.412035, 8.733333, 168.836171, 21.191128]",3
214,"[3, -7]","[214.0, 5.018454, 3.399931, -8.521666, 46.093177, 8.106438]",3
200,"[-1, -2]","[200.0, 3.212469, 1.601862, 0.0, 53.12323, 10.699467]",3
234,"[8, -9]","[234.0, 12.728331, 11.039033, 4.954955, 158.25225, 19.982589]",3
218,"[4, -4]","[218.0, 13.847023, 8.213042, 3.487972, 83.762659, 15.750511]",3
