Ve1,Ve2,Ve3,Ve4,Veg,Vs1,Vs2,Vs3,Vs4,Vsg
1,3,3,0,0.028925619834710745,0,0,0,0,0.0
1,2,1,0,0.01928374655647383,1,0,0,0,0.008264462809917356
1,3,1,0,0.023415977961432508,1,0,0,0,0.008264462809917356
1,4,1,0,0.027548209366391185,0,0,0,0,0.0
0,3,0,0,0.012396694214876033,0,0,0,0,0.0
2,7,2,0,0.05096418732782369,1,3,1,0,0.023415977961432508
0,3,1,0,0.015151515151515152,0,0,0,0,0.0
0,3,0,0,0.012396694214876033,0,0,0,0,0.0
1,7,2,0,0.04269972451790634,0,3,1,0,0.015151515151515152
1,3,2,0,0.026170798898071626,0,2,1,0,0.011019283746556474







